Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,1.936027,1.851852,1.868687,0.536046,173800
1980-03-24,0.000000,1.936027,1.851852,1.851852,0.531218,1596000
1980-03-31,0.000000,1.936027,1.851852,1.868687,0.536046,26200
1980-04-07,0.000000,1.952862,1.818182,1.885522,0.540876,273200
1980-04-14,0.000000,2.087542,1.885522,2.020202,0.579510,160600
1980-04-21,2.020202,2.087542,2.020202,2.020202,0.579510,81200
1980-04-28,0.000000,2.087542,1.969697,1.969697,0.565022,518400
1980-05-05,0.000000,2.087542,1.969697,2.020202,0.579510,223200
1980-05-12,0.000000,2.053872,1.969697,1.969697,0.565022,158200
1980-05-19,0.000000,2.053872,1.952862,1.986532,0.569851,70600
1980-05-26,1.986532,2.053872,1.986532,1.986532,0.569851,16000
1980-06-02,1.986532,2.053872,1.986532,1.986532,0.569851,53000
1980-06-09,2.020202,2.087542,1.986532,2.020202,0.579510,140000
1980-06-16,0.000000,2.087542,2.020202,2.020202,0.579510,252600
1980-06-23,0.000000,2.070707,1.986532,2.003367,0.574681,288400
1980-06-30,0.000000,2.070707,1.969697,1.969697,0.565022,49200
1980-07-07,0.000000,2.053872,2.003367,2.020202,0.579510,205600
1980-07-14,0.000000,2.188552,2.020202,2.154882,0.618144,370200
1980-07-21,0.000000,2.255892,2.171717,2.205387,0.632632,173800
1980-07-28,0.000000,2.239057,2.087542,2.087542,0.598827,277400
1980-08-04,0.000000,2.087542,1.986532,1.986532,0.569851,254600
1980-08-11,0.000000,2.154882,1.986532,2.121212,0.608486,143000
1980-08-18,2.121212,2.188552,2.104377,2.154882,0.618144,164200
1980-08-25,0.000000,2.222222,2.121212,2.121212,0.608486,99200
1980-09-01,0.000000,2.138047,2.104377,2.104377,0.603656,217800
1980-09-08,2.121212,2.205387,2.121212,2.154882,0.618144,212000
1980-09-15,0.000000,2.222222,2.154882,2.154882,0.618144,219200
1980-09-22,0.000000,2.188552,2.138047,2.138047,0.613315,145000
1980-09-29,0.000000,2.154882,2.087542,2.121212,0.608486,214800
1980-10-06,0.000000,2.205387,2.121212,2.171717,0.622973,89200
1980-10-13,0.000000,2.205387,2.171717,2.171717,0.622973,271600
1980-10-20,0.000000,2.205387,2.154882,2.154882,0.618144,205200
1980-10-27,0.000000,2.171717,2.138047,2.138047,0.613315,158400
1980-11-03,0.000000,2.188552,2.121212,2.121212,0.608486,88400
1980-11-10,0.000000,2.121212,2.087542,2.087542,0.598827,121200
1980-11-17,0.000000,2.138047,2.087542,2.104377,0.603656,107800
1980-11-24,0.000000,2.138047,2.104377,2.104377,0.603656,65800
1980-12-01,0.000000,2.154882,2.104377,2.121212,0.608486,67800
1980-12-08,0.000000,2.154882,2.104377,2.104377,0.603656,155400
1980-12-15,0.000000,2.154882,2.087542,2.121212,0.608486,615800
1980-12-22,0.000000,2.222222,2.138047,2.171717,0.622973,158400
1980-12-29,0.000000,2.222222,2.171717,2.171717,0.622973,51600
1981-01-05,0.000000,2.205387,2.171717,2.171717,0.622973,144200
1981-01-12,0.000000,2.239057,2.171717,2.188552,0.627802,134200
1981-01-19,0.000000,2.239057,2.205387,2.205387,0.632632,95000
1981-01-26,0.000000,2.457912,2.205387,2.373737,0.680924,209800
1981-02-02,0.000000,2.424242,2.356902,2.390572,0.685753,141600
1981-02-09,0.000000,2.457912,2.390572,2.390572,0.685753,132800
1981-02-16,0.000000,2.424242,2.373737,2.373737,0.680924,85200
1981-02-23,0.000000,2.474747,2.407408,2.424242,0.695412,108000
1981-03-02,0.000000,2.491582,2.424242,2.424242,0.695412,246200
1981-03-09,2.424242,2.457912,2.424242,2.424242,0.695412,100800
1981-03-16,2.424242,2.525253,2.424242,2.474747,0.709900,124000
1981-03-23,0.000000,2.592592,2.491582,2.542088,0.729217,178000
1981-03-30,0.000000,2.626263,2.525253,2.592592,0.743705,87400
1981-04-06,0.000000,2.659933,2.626263,2.626263,0.753363,207200
1981-04-13,0.000000,2.693603,2.626263,2.659933,0.763022,114600
1981-04-20,0.000000,2.727273,2.659933,2.659933,0.763022,80800
1981-04-27,0.000000,2.693603,2.525253,2.525253,0.724388,174600
1981-05-04,0.000000,2.542088,2.491582,2.491582,0.714729,237000
1981-05-11,0.000000,2.542088,2.491582,2.508418,0.719558,88600
1981-05-18,0.000000,2.575758,2.508418,2.542088,0.729217,929400
1981-05-25,0.000000,2.592592,2.542088,2.558923,0.734046,204400
