Date,Open,High,Low,Close,Adj Close,Volume
1972-05-29,3.552083,3.578125,3.541667,3.552083,0.830966,1711200
1972-06-05,3.552083,3.562500,3.468750,3.500000,0.818783,1658400
1972-06-12,3.500000,3.526042,3.458333,3.463542,0.810254,1900800
1972-06-19,3.463542,3.583333,3.447917,3.536458,0.827312,1142400
1972-06-26,3.536458,3.598958,3.489583,3.546875,0.829748,1094400
1972-07-03,3.546875,3.697917,3.536458,3.645833,0.852898,849600
1972-07-10,3.640625,3.640625,3.546875,3.578125,0.837059,864000
1972-07-17,3.578125,3.687500,3.562500,3.677083,0.860209,897600
1972-07-24,3.677083,3.843750,3.666667,3.718750,0.869956,1447200
1972-07-31,3.718750,3.760417,3.703125,3.739583,0.874830,2364000
1972-08-07,3.739583,3.807292,3.708333,3.791667,0.887014,1452000
1972-08-14,3.791667,3.812500,3.723958,3.734375,0.873613,1968000
1972-08-21,3.734375,3.744792,3.671875,3.671875,0.861831,1111200
1972-08-28,3.671875,3.739583,3.666667,3.723958,0.874057,1123200
1972-09-04,3.723958,3.739583,3.692708,3.708333,0.870389,388800
1972-09-11,3.703125,3.703125,3.572917,3.572917,0.838605,1164000
1972-09-18,3.572917,3.593750,3.510417,3.541667,0.831271,1183200
1972-09-25,3.541667,3.739583,3.526042,3.739583,0.877724,1648800
1972-10-02,3.718750,3.739583,3.625000,3.729167,0.875279,2066400
1972-10-09,3.708333,3.729167,3.593750,3.604167,0.845940,943200
1972-10-16,3.604167,3.723958,3.572917,3.708333,0.870389,705600
1972-10-23,3.708333,3.786458,3.687500,3.734375,0.876501,1855200
1972-10-30,3.734375,3.833333,3.713542,3.828125,0.898506,1968000
1972-11-06,3.828125,4.015625,3.802083,3.953125,0.927844,1180800
1972-11-13,3.937500,3.942708,3.854167,3.916667,0.919288,1248000
1972-11-20,3.916667,3.916667,3.776042,3.776042,0.889093,470400
1972-11-27,3.776042,3.791667,3.697917,3.729167,0.878055,1161600
1972-12-04,3.718750,3.854167,3.666667,3.791667,0.892771,1766400
1972-12-11,3.791667,3.906250,3.791667,3.895833,0.917298,1171200
1972-12-18,3.885417,3.885417,3.760417,3.781250,0.890318,1089600
1972-12-25,3.781250,3.833333,3.760417,3.802083,0.895224,888000
